,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
31,"frozenset({'KEGS', 'LIQUOR'})",frozenset({'NON-ALCOHOL'}),0.02178649237472767,0.05337690631808279,0.010893246187363835,0.5,9.36734693877551,1.0,0.009730350624878372,1.8932461873638344,0.9131403118040089,0.1694915254237288,0.4718066743383199,0.3520408163265306
68,"frozenset({'NON-ALCOHOL', 'LIQUOR'})","frozenset({'BEER', 'WINE'})",0.03159041394335512,0.0718954248366013,0.015250544662309368,0.48275862068965514,6.714733542319749,1.0,0.01297933843108776,1.7943355119825708,0.8788365739996787,0.1728395061728395,0.44269062651772706,0.34743991640543365
67,"frozenset({'BEER', 'WINE'})","frozenset({'NON-ALCOHOL', 'LIQUOR'})",0.0718954248366013,0.03159041394335512,0.015250544662309368,0.21212121212121213,6.714733542319749,1.0,0.01297933843108776,1.2291352438411263,0.9170020120724346,0.1728395061728395,0.18641987933326518,0.34743991640543365
19,"frozenset({'BEER', 'LIQUOR'})",frozenset({'NON-ALCOHOL'}),0.06100217864923747,0.05337690631808279,0.017429193899782137,0.28571428571428575,5.352769679300292,1.0,0.014173086324822838,1.3252723311546843,0.8660092807424594,0.1797752808988764,0.24543810619759993,0.30612244897959184
22,frozenset({'NON-ALCOHOL'}),"frozenset({'BEER', 'LIQUOR'})",0.05337690631808279,0.06100217864923747,0.017429193899782137,0.326530612244898,5.352769679300292,1.0,0.014173086324822838,1.394269492308708,0.8590333716915995,0.1797752808988764,0.28277854065059904,0.30612244897959184
63,"frozenset({'BEER', 'LIQUOR', 'WINE'})",frozenset({'NON-ALCOHOL'}),0.05337690631808279,0.05337690631808279,0.015250544662309368,0.2857142857142857,5.352769679300291,1.0,0.012401450534219982,1.3252723311546841,0.8590333716915995,0.16666666666666666,0.24543810619759984,0.2857142857142857
72,frozenset({'NON-ALCOHOL'}),"frozenset({'BEER', 'LIQUOR', 'WINE'})",0.05337690631808279,0.05337690631808279,0.015250544662309368,0.2857142857142857,5.352769679300291,1.0,0.012401450534219982,1.3252723311546841,0.8590333716915995,0.16666666666666666,0.24543810619759984,0.2857142857142857
9,"frozenset({'BEER', 'NON-ALCOHOL'})",frozenset({'KEGS'}),0.023965141612200435,0.13616557734204793,0.017429193899782137,0.7272727272727274,5.34109090909091,1.0,0.014165966556072928,3.167392883079159,0.8327287946428572,0.12213740458015271,0.6842829301845696,0.4276363636363637
12,frozenset({'KEGS'}),"frozenset({'BEER', 'NON-ALCOHOL'})",0.13616557734204793,0.023965141612200435,0.017429193899782137,0.128,5.3410909090909096,1.0,0.014165966556072928,1.119306030261238,0.9408890290037832,0.12213740458015271,0.10658928571428572,0.4276363636363637
41,"frozenset({'BEER', 'NON-ALCOHOL', 'LIQUOR'})",frozenset({'KEGS'}),0.017429193899782137,0.13616557734204793,0.010893246187363835,0.625,4.59,1.0,0.0085199899373935,2.3035584604212054,0.7960088691796008,0.07633587786259542,0.5658890290037831,0.3525
50,frozenset({'KEGS'}),"frozenset({'BEER', 'NON-ALCOHOL', 'LIQUOR'})",0.13616557734204793,0.017429193899782137,0.010893246187363835,0.08,4.59,1.0,0.0085199899373935,1.0680117457611062,0.905422446406053,0.07633587786259542,0.06368070953436808,0.3525
29,frozenset({'NON-ALCOHOL'}),"frozenset({'BEER', 'WINE'})",0.05337690631808279,0.0718954248366013,0.015250544662309368,0.2857142857142857,3.9740259740259742,1.0,0.011412989306107338,1.2993464052287582,0.7905638665132335,0.13861386138613863,0.23038229376257544,0.24891774891774893
26,"frozenset({'BEER', 'WINE'})",frozenset({'NON-ALCOHOL'}),0.0718954248366013,0.05337690631808279,0.015250544662309368,0.21212121212121213,3.974025974025974,1.0,0.011412989306107338,1.2014831573655103,0.806338028169014,0.13861386138613863,0.16769536562401927,0.24891774891774893
